Region,Treatment,Drought,SLA,Fl,A,gs,WC
North,pre,W,220.44026221744667,99.8445436874169,12.21980214204697,0.4284274752330994,0.2204017615309008
North,pre,D,234.01184444213925,96.78700872738018,11.987256061056396,0.4228428220028874,0.2101229890802449
North,peak,W,223.253138260149,101.05985421140817,12.381692599587575,0.44173805059315363,0.21902478808558154
North,peak,D,224.3108690615224,95.936755397516,12.237744314437032,0.41272694529041587,0.21034843179122673
Centre,pre,W,221.64796173121908,101.27039248445158,11.703539444633753,0.46733185024231294,0.24675638198208277
Centre,pre,D,230.99710003948917,95.96158185140467,12.234403051231657,0.41789026670804863,0.2265950519345607
Centre,peak,W,181.5636838689897,100.71452693545788,9.007430612790829,0.32621408875858116,0.2855722535406008
Centre,peak,D,181.32232476255825,96.39450696386129,8.861987927730484,0.23304209602459558,0.2733645931880485
South,pre,W,210.45042732231997,97.0213890929738,10.761536174252639,0.46916040691613825,0.21793130442006858
South,pre,D,243.1737122750681,95.361480444756893,11.984716956082918,0.44834371308867793,0.19763712635099018
South,peak,W,217.13277482248836,99.51346469468983,11.330334309737896,0.5258310396549545,0.2122900894171068
South,peak,D,221.50597909580924,96.25174568700065,12.416401495618391,0.4891776726600175,0.2035290838320999
